"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"75",812.611494062444,"[M+Na]+","
PC(11:0/25:0)","PC 36:0",812.614526,789.624757
"76",818.607818505229,"[M+Na]+","
PC(O-16:0/22:4(7Z,10Z,13Z,16Z))","PC(O-38:4)",818.603961,795.614192
"77",818.607818505229,"[M+Na]+","PC(O-16:0/22:4(7Z,10Z,13Z,16Z))","PC(O-38:6)",818.603961,795.614192
"78",844.61920266805,"[M+Na]+","PC(P-18:0/22:4(7Z,10Z,13Z,16Z))","PC(P-40:4)",844.619611,821.629842
"79",712.492787285936,"[M+Na]+","PE(12:0/20:1(11Z))","PE 32:1",712.489326,689.499557
"80",754.536876718579,"[M+Na]+","
PE(13:0/22:1(11Z))","PE 35:1",754.536276,731.546507
"81",768.552457689547,"[M+Na]+","PE(14:0/22:1(11Z))","PE 36:1",768.551926,745.562157
"82",790.53128316229,"[M+Na]+","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",790.536276,767.546507
"83",772.528468928562,"[M+Na]+","PE(O-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(O-38:6)",772.525711,749.535942
"84",800.55150554285,"[M+Na]+","
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(O-40:6)",800.557011,777.567242
"85",744.497237813916,"[M+Na]+","PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-16:0/20:5)",744.494411,721.504642
"86",771.514865140413,"[M+Na]+","PG(12:0/22:1(11Z))","PG 34:1",771.515207,748.525438
"87",769.500847930406,"[M+Na]+","PG(12:0/22:2(13Z,16Z))","PG 34:2",769.499557,746.509788
"88",799.547777636632,"[M+Na]+","
PG(14:1(9Z)/22:0)","PG 36:1",799.546507,776.556738
"89",797.532910278984,"[M+Na]+","PG(14:0/22:2(13Z,16Z))","PG 36:2",797.530857,774.541088
"90",881.512614655222,"[M+Na]+","PI(14:0/22:4(7Z,10Z,13Z,16Z))","PI 36:4",881.515602,858.525833
"91",810.527079298443,"[M+Na]+","
PS(14:0/22:2(13Z,16Z))","PS 36:2",810.526106,787.536337
"92",711.541927273984,"[M+Na]+","
SM(d18:1/15:0)","SM 33:1",711.541695,688.551926
"93",725.561129556905,"[M+Na]+","
SM(d18:1/16:0)","SM 34:1",725.557345,702.567576
"94",825.694239277626,"[M+Na]+","TG(14:0/16:0/18:2(9Z,12Z))[iso6]","TG 14:0 16:0 18:2",825.694809,802.70504
"95",825.694239277626,"[M+Na]+","TG(14:0/16:1(9Z)/18:1(9Z))[iso6]","TG 14:0 16:1 18:1",825.694809,802.70504
"96",885.676091270629,"[M+Na]+","Coenzyme Q10","Ubiquinone",885.673679,862.68391
